RaceID	RaceName	BallotID	BallotName	Votes	TotalVotesByRace	PartyName	RaceJurisdictionTypeName
97	 Kittitas Superior Court - Judge Position 1	23544	Jim Denison	0	0		Judicial
377	 Kittitas Superior Court - Judge Position 2	23719	Scott R. Sparks	0	0		Judicial
63	" Klickitat, Skamania Superior Court - Judge Position 1"	23288	Brian Altman	0	0		Judicial
98	 Lewis Superior Court - Judge Position 1	24180	Nelson E. Hunt	0	0		Judicial
99	 Lewis Superior Court - Judge Position 2	23117	James W. Lawler	0	0		Judicial
100	 Lewis Superior Court - Judge Position 3	22847	Richard L. Brosey	0	0		Judicial
101	 Lincoln Superior Court - Judge Position 1	23403	John F. Strohmaier	0	0		Judicial
102	 Mason Superior Court - Judge Position 1	23588	Amber L Finlay	0	0		Judicial
103	 Mason Superior Court - Judge Position 2	22735	Toni A. Sheldon	0	0		Judicial
28820	 Okanogan Superior Court - Judge Position 2	23563	Chris Culp	0	0		Judicial
64	" Pacific, Wahkiakum Superior Court - Judge Position 1"	22880	Mike Sullivan	0	0		Judicial
64	" Pacific, Wahkiakum Superior Court - Judge Position 1"	28039	Dennis Gordon	0	0		Judicial
9204	 San Juan Superior Court - Judge Position 1	23359	Donald E. Eaton	0	0		Judicial
214	 Thurston Superior Court - Judge Position 2	23067	Christine Schaller	0	0		Judicial
214	 Thurston Superior Court - Judge Position 2	26986	Jim Johnson	0	0		Judicial
216	 Thurston Superior Court - Judge Position 4	23224	Erik D. Price	0	0		Judicial
216	 Thurston Superior Court - Judge Position 4	25876	Indu Thomas	0	0		Judicial
108	 Walla Walla  Superior Court - Judge Position 1	22695	John W. Lohrmann	0	0		Judicial
111	 Whatcom Superior Court - Judge Position 2	24522	Dave Grant	0	0		Judicial
111	 Whatcom Superior Court - Judge Position 2	22675	Deborra Garrett	0	0		Judicial
113	 Whitman Superior Court - Judge Position 1	23118	David Frazier	0	0		Judicial
