RaceID	RaceName	BallotID	BallotName	Votes	TotalVotesByRace	PartyName	RaceJurisdictionTypeName
299	 Legislative District 24 - State Representative Pos. 1	28038	Craig Durgan	0	0	(States No Party Preference)	Legislative
300	 Legislative District 24 - State Representative Pos. 2	24144	Steve Tharinger	0	0	(Prefers Democratic Party)	Legislative
300	 Legislative District 24 - State Representative Pos. 2	25625	Steve Gale	0	0	(Prefers Republican Party)	Legislative
301	 Legislative District 25 - State Senator	22753	Bruce Dammeier	0	0	(Prefers Republican Party)	Legislative
301	 Legislative District 25 - State Senator	24177	Eric Herde	0	0	(Prefers Democratic Party)	Legislative
302	 Legislative District 25 - State Representative Pos. 1	26606	Dawn Morrell	0	0	(Prefers Democratic Party)	Legislative
302	 Legislative District 25 - State Representative Pos. 1	25104	Shelly Schlumpf	0	0	(Prefers Republican Party)	Legislative
303	 Legislative District 25 - State Representative Pos. 2	24945	Hans Zeiger	0	0	(Prefers Republican Party)	Legislative
303	 Legislative District 25 - State Representative Pos. 2	23050	Bill Hilton	0	0	(Prefers Democratic Party)	Legislative
305	 Legislative District 26 - State Representative Pos. 1	24309	Jan Angel	0	0	(Prefers Republican Party)	Legislative
305	 Legislative District 26 - State Representative Pos. 1	25613	Karin Ashabraner	0	0	(Prefers Democratic Party)	Legislative
306	 Legislative District 26 - State Representative Pos. 2	25171	Larry Seaquist	0	0	(Prefers Democratic Party)	Legislative
306	 Legislative District 26 - State Representative Pos. 2	25362	Doug Richards	0	0	(Prefers Republican Party)	Legislative
307	 Legislative District 27 - State Senator	23534	Jeannie Darneille	0	0	(Prefers Democratic Party)	Legislative
307	 Legislative District 27 - State Senator	25968	John R. (Jack) Connelly	0	0	(Prefers Democratic Party)	Legislative
308	 Legislative District 27 - State Representative Pos. 1	23331	Laurie Jinkins	0	0	(Prefers Democratic Party)	Legislative
308	 Legislative District 27 - State Representative Pos. 1	25707	Steven T. Cook	0	0	(Prefers Republican Party)	Legislative
309	 Legislative District 27 - State Representative Pos. 2	25040	Jake Fey	0	0	(Prefers Democratic Party)	Legislative
309	 Legislative District 27 - State Representative Pos. 2	25894	Lauren Walker	0	0	(Prefers Democratic Party)	Legislative
310	 Legislative District 28 - State Senator	24122	Mike Carrell	0	0	(Prefers G.O.P. Party)	Legislative
310	 Legislative District 28 - State Senator	24369	Yoshie Wong	0	0	(Prefers Democratic Party)	Legislative
311	 Legislative District 28 - State Representative Pos. 1	22941	Steve O'Ban	0	0	(Prefers Republican Party)	Legislative
311	 Legislative District 28 - State Representative Pos. 1	23660	Eric Choiniere	0	0	(Prefers Democratic Party)	Legislative
312	 Legislative District 28 - State Representative Pos. 2	24816	Tami Green	0	0	(Prefers Democratic Party)	Legislative
312	 Legislative District 28 - State Representative Pos. 2	22807	Paul Wagemann	0	0	(Prefers Republican Party)	Legislative
314	 Legislative District 29 - State Representative Pos. 1	23383	David Sawyer	0	0	(Prefers Democratic Party)	Legislative
314	 Legislative District 29 - State Representative Pos. 1	22934	Terry Harder	0	0	(Prefers Republican Party)	Legislative
315	 Legislative District 29 - State Representative Pos. 2	22739	Steve Kirby	0	0	(Prefers Democratic Party)	Legislative
317	 Legislative District 30 - State Representative Pos. 1	23290	Linda Kochmar	0	0	(Prefers Republican Party)	Legislative
317	 Legislative District 30 - State Representative Pos. 1	23451	Roger Flygare	0	0	(Prefers Democratic Party)	Legislative
318	 Legislative District 30 - State Representative Pos. 2	25364	Katrina Asay	0	0	(Prefers Republican Party)	Legislative
318	 Legislative District 30 - State Representative Pos. 2	26484	Roger Freeman	0	0	(Prefers Democratic Party)	Legislative
320	 Legislative District 31 - State Representative Pos. 1	22825	Cathy Dahlquist	0	0	(Prefers Republican Party)	Legislative
320	 Legislative District 31 - State Representative Pos. 1	27015	Brian L. Gunn	0	0	(Prefers Democratic Party)	Legislative
321	 Legislative District 31 - State Representative Pos. 2	22494	Christopher Hurst	0	0	(Prefers Independent Dem. Party)	Legislative
321	 Legislative District 31 - State Representative Pos. 2	25168	Lisa Connors	0	0	(Prefers Republican Party)	Legislative
323	 Legislative District 32 - State Representative Pos. 1	22990	Cindy Ryu	0	0	(Prefers Democratic Party)	Legislative
323	 Legislative District 32 - State Representative Pos. 1	25233	Randy J. Hayden	0	0	(Prefers Republican Party)	Legislative
324	 Legislative District 32 - State Representative Pos. 2	23828	Ruth Kagi	0	0	(Prefers Democratic Party)	Legislative
324	 Legislative District 32 - State Representative Pos. 2	24678	Robert Reedy	0	0	(Prefers Republican Party)	Legislative
326	 Legislative District 33 - State Representative Pos. 1	24712	Tina Orwall	0	0	(Prefers Democratic Party)	Legislative
326	 Legislative District 33 - State Representative Pos. 1	25115	Will Benge	0	0	(Prefers Republican Party)	Legislative
327	 Legislative District 33 - State Representative Pos. 2	26744	Dave Upthegrove	0	0	(Prefers Democratic Party)	Legislative
327	 Legislative District 33 - State Representative Pos. 2	27969	Martin Metz	0	0	(Prefers Republican Party)	Legislative
329	 Legislative District 34 - State Representative Pos. 1	24593	Eileen L. Cody	0	0	(Prefers Democratic Party)	Legislative
329	 Legislative District 34 - State Representative Pos. 1	27036	William Giammarese	0	0	(Prefers Democratic Party)	Legislative
330	 Legislative District 34 - State Representative Pos. 2	26039	Joe Fitzgibbon	0	0	(Prefers Democratic Party)	Legislative
332	 Legislative District 35 - State Representative Pos. 1	25426	Kathy Haigh	0	0	(Prefers Democratic Party)	Legislative
332	 Legislative District 35 - State Representative Pos. 1	24095	Dan Griffey	0	0	(Prefers Republican Party)	Legislative
333	 Legislative District 35 - State Representative Pos. 2	22767	Drew C. MacEwen	0	0	(Prefers Republican Party)	Legislative
333	 Legislative District 35 - State Representative Pos. 2	22812	Lynda Ring-Erickson	0	0	(Prefers Democratic Party)	Legislative
335	 Legislative District 36 - State Representative Pos. 1	26049	Reuven Carlyle	0	0	(Prefers Democratic Party)	Legislative
335	 Legislative District 36 - State Representative Pos. 1	24753	Leslie Klein	0	0	(Prefers (R) Hope&change Party)	Legislative
336	 Legislative District 36 - State Representative Pos. 2	25743	Gael Tarleton	0	0	(Prefers Democratic Party)	Legislative
336	 Legislative District 36 - State Representative Pos. 2	27874	Noel Christina Frame	0	0	(Prefers Democratic Party)	Legislative
338	 Legislative District 37 - State Representative Pos. 1	24747	Sharon Tomiko Santos	0	0	(Prefers Democratic Party)	Legislative
339	 Legislative District 37 - State Representative Pos. 2	25927	Eric Pettigrew	0	0	(Prefers Democratic Party)	Legislative
339	 Legislative District 37 - State Representative Pos. 2	27864	Tamra Smilanich	0	0	(Prefers Non-partisan Party)	Legislative
341	 Legislative District 38 - State Representative Pos. 1	22892	John McCoy	0	0	(Prefers Democratic Party)	Legislative
341	 Legislative District 38 - State Representative Pos. 1	27766	Sam Wilson	0	0	(Prefers Republican Party)	Legislative
342	 Legislative District 38 - State Representative Pos. 2	22821	Mike Sells	0	0	(Prefers Democratic Party)	Legislative
342	 Legislative District 38 - State Representative Pos. 2	26387	Michael Casey	0	0	(Prefers Gop Party)	Legislative
343	 Legislative District 39 - State Senator	22679	Kirk Pearson	0	0	(Prefers Republican Party)	Legislative
343	 Legislative District 39 - State Senator	25885	Scott Olson	0	0	(Prefers Democratic Party)	Legislative
344	 Legislative District 39 - State Representative Pos. 1	23093	Dan Kristiansen	0	0	(Prefers Republican Party)	Legislative
344	 Legislative District 39 - State Representative Pos. 1	27554	Linda Wright	0	0	(Prefers Democrat Party)	Legislative
345	 Legislative District 39 - State Representative Pos. 2	27353	Eleanor Walters	0	0	(Prefers Democratic Party)	Legislative
345	 Legislative District 39 - State Representative Pos. 2	22495	Elizabeth Scott	0	0	(Prefers Republican Party)	Legislative
346	 Legislative District 40 - State Senator	23730	Kevin Ranker	0	0	(Prefers Democratic Party)	Legislative
346	 Legislative District 40 - State Senator	25119	John Swapp	0	0	(Prefers Independent-Gop Party)	Legislative
347	 Legislative District 40 - State Representative Pos. 1	22981	Kristine Lytton	0	0	(Prefers Democratic Party)	Legislative
347	 Legislative District 40 - State Representative Pos. 1	28040	Brandon Robinson	0	0	(States No Party Preference)	Legislative
348	 Legislative District 40 - State Representative Pos. 2	23070	Jeff Morris	0	0	(Prefers Democratic Party)	Legislative
348	 Legislative District 40 - State Representative Pos. 2	27465	Howard A. Pellett	0	0	(Prefers Green Party)	Legislative
349	 Legislative District 41 - State Senator	25710	Steve Litzow	0	0	(Prefers Republican Party)	Legislative
349	 Legislative District 41 - State Senator	26006	Maureen Judge	0	0	(Prefers Democratic Party)	Legislative
350	 Legislative District 41 - State Representative Pos. 1	24686	Marcie Maxwell	0	0	(Prefers Democratic Party)	Legislative
350	 Legislative District 41 - State Representative Pos. 1	27066	Tim Eaves	0	0	(Prefers Republican Party)	Legislative
351	 Legislative District 41 - State Representative Pos. 2	24451	Judy Clibborn	0	0	(Prefers Democratic Party)	Legislative
353	 Legislative District 42 - State Representative Pos. 1	25900	Jason Overstreet	0	0	(Prefers    Republican Party)	Legislative
353	 Legislative District 42 - State Representative Pos. 1	27210	Natalie McClendon	0	0	(Prefers Democratic Party)	Legislative
354	 Legislative District 42 - State Representative Pos. 2	23568	Vincent Buys	0	0	(Prefers Republican Party)	Legislative
354	 Legislative District 42 - State Representative Pos. 2	27746	Matthew Krogh	0	0	(Prefers Democrat Party)	Legislative
356	 Legislative District 43 - State Representative Pos. 1	24520	Jamie Pedersen	0	0	(Prefers Democratic Party)	Legislative
357	 Legislative District 43 - State Representative Pos. 2	25958	Frank Chopp	0	0	(Prefers Democratic Party)	Legislative
357	 Legislative District 43 - State Representative Pos. 2	28037	Kshama Sawant	0	0	(Prefers Socialist Altern Party)	Legislative
359	 Legislative District 44 - State Representative Pos. 1	22858	Hans Dunshee	0	0	(Prefers Democratic Party)	Legislative
359	 Legislative District 44 - State Representative Pos. 1	22762	Mark Harmsworth	0	0	(Prefers Republican Party)	Legislative
360	 Legislative District 44 - State Representative Pos. 2	25160	Mike Hope	0	0	(Prefers Republican Party)	Legislative
360	 Legislative District 44 - State Representative Pos. 2	24004	Mary McNaughton	0	0	(Prefers Democratic Party)	Legislative
